Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-187.0947	-250.6374	63.54272	0.00344952	0.0106882	0.0137812	0.035107	0.0677772	0.010103	0.00500331	0.0251207	0.0243057	0.00319018	0.00941081	0.067864	0.0332621	0.0244632	0.000690537	0.0179127	0.0219177	0.0238003	0.0184469	0.049685	0.00021845	0.00139067	0.0439377	0.0672851	0.0755198	0.00198119	0.0261299	0.0065681	0.106959	0.0180528	0.0254671	0.00840968	0.00192893	0.0179013	0.00803362	0.0125991	0.030021	0.104464	0.0444109	0.0371764	0.0208677	0.0285927	0.000972682	0.0272671	0.0399705	0.0217612	0.0804427	0.6326877	0.4627237	0.0540937	0.241075	0.641568	1.55868	4.14809	18.4865	2.10922	0.00260477	0.00807081	0.0104063	0.0265097	0.0511793	0.00762887	0.00377806	0.0189689	0.0183535	0.00240894	0.00710621	0.0512448	0.0251166	0.0184725	0.000521432	0.0135261	0.0165503	0.0179719	0.0139294	0.0375177	0.000164954	0.00105011	0.0331778	0.0508077	0.0570259	0.00149602	0.019731	0.00495965	0.0807656	0.0136319	0.0192305	0.00635025	0.00145655	0.0135175	0.00606628	0.00951375	0.0226692	0.078882	0.0335352	0.0280723	0.0157574	0.0215906	0.000734483	0.0205897	0.0301822	0.0164321	0.0607432	1.079287	0.683656	0.316344	1.324308
36	-190.2592	-252.2549	61.99569	0.0262405	0.10092	0.00717934	0.0410861	0.0406425	0.0487991	0.00132136	0.0207403	0.0145057	0.00663142	0.0391195	0.00886162	0.0150809	0.00100943	0.0118373	0.00679801	0.0349261	0.0217368	0.0175225	0.00568796	0.0405896	0.0358259	0.0175082	0.049478	0.03103	0.0372448	0.00601898	0.00113598	0.0207019	0.0121713	0.0290966	0.0223659	0.00491408	0.0134971	0.00439883	0.0151248	0.0220104	0.0127968	0.0333878	0.0124462	0.00314025	0.0180394	0.0166387	0.00518418	0.0637309	0.0503452	0.0319279	1.447458	2.619632	0.0501413	0.232318	0.634204	1.57678	4.30445	19.9436	2.16408	0.0242654	0.0933235	0.00663896	0.0379936	0.0375834	0.045126	0.0012219	0.0191792	0.0134139	0.00613228	0.0361751	0.00819462	0.0139457	0.000933448	0.0109463	0.00628633	0.0322972	0.0201007	0.0162036	0.00525983	0.0375344	0.0331293	0.0161904	0.0457539	0.0286944	0.0344415	0.00556594	0.00105047	0.0191437	0.0112552	0.0269065	0.0206824	0.0045442	0.0124812	0.00406773	0.0139863	0.0203537	0.0118336	0.0308747	0.0115094	0.00290388	0.0166816	0.0153863	0.00479397	0.0589339	0.0465558	0.0295247	0.9178594	0.276271	0.723729	1.081396
72	-183.5531	-245.365	61.81187	0.00745414	0.0427331	0.00783749	0.0116668	0.0533059	0.0104468	0.00191882	0.0119416	0.0508039	0.00541613	0.0218107	0.00364874	0.0261808	0.00960442	0.0077162	0.0147467	0.00105705	0.0529778	0.00777102	0.0263521	0.0548168	0.0741706	0.0122318	0.0566357	0.02501	0.0462746	0.017749	0.0258861	0.0291507	0.0153607	0.0590386	0.0122179	0.00240538	0.0228337	0.0324546	0.0160041	0.00790825	0.00964654	0.0313814	0.00460525	0.0178411	0.00846965	0.00129562	0.00669838	0.0744441	0.0959779	0.00783183	1.042927	1.089704	0.0108419	0.110082	0.502381	1.99052	9.08416	92.235	3.271409	0.00651739	0.0373629	0.00685257	0.0102007	0.0466071	0.009134	0.00167769	0.0104409	0.0444194	0.0047355	0.0190697	0.00319021	0.0228907	0.00839745	0.00674652	0.0128935	0.000924214	0.0463202	0.00679445	0.0230405	0.0479281	0.0648498	0.0106947	0.0495184	0.0218671	0.0404593	0.0155185	0.022633	0.0254874	0.0134303	0.0516193	0.0106825	0.0021031	0.0199642	0.0283761	0.0139929	0.00691443	0.00843427	0.0274378	0.00402651	0.015599	0.00740528	0.0011328	0.00585661	0.0650889	0.0839165	0.00684762	0.9914877	0.478537	0.521463	1.14373
108	-180.4219	-242.9811	62.55917	0.00647216	0.0188575	0.00653572	0.000445112	0.0353335	0.0091482	0.0134892	0.0015483	0.00830786	0.0104837	0.00220445	0.0152784	0.00919232	0.000922189	0.00280541	0.0288659	0.00795591	0.00749048	0.000129849	0.0102641	0.00420398	0.00363121	0.00779666	0.00580415	0.00322133	0.00215306	0.00591037	0.00486368	0.0104331	0.000930656	0.0366084	0.000518381	0.00605012	0.00156949	0.0135217	0.000445633	0.0209033	0.00206786	0.00383674	0.0135138	0.0128527	0.0170032	0.00784615	0.00888815	0.0664312	0.00539193	0.00158613	1.038933	1.08102	0.0160108	0.133133	0.533082	1.87589	7.51126	62.458	2.989524	0.0139573	0.0406662	0.0140943	0.000959885	0.0761968	0.0197281	0.0290895	0.00333891	0.0179159	0.0226081	0.00475391	0.032948	0.0198233	0.00198871	0.00604989	0.0622494	0.017157	0.0161532	0.00028002	0.0221346	0.0090659	0.00783072	0.0168135	0.0125167	0.00694681	0.00464309	0.0127457	0.0104886	0.022499	0.00200696	0.0789463	0.00111789	0.0130471	0.00338461	0.0291596	0.000961011	0.045078	0.00445936	0.00827396	0.0291427	0.027717	0.0366675	0.0169203	0.0191673	0.143259	0.0116277	0.00342049	0.9922736	0.480534	0.519466	0.4637133
144	-188.149	-250.2595	62.11053	0.0473435	0.0176823	0.017657	0.00266004	0.0494718	0.0158743	0.00367199	0.00228113	0.00339668	0.00466215	0.0175774	0.00158963	0.0196124	0.000555533	0.000919516	0.000988699	0.00144913	0.0051105	0.000136687	0.00437144	0.0014306	0.00255646	0.000693282	0.00316216	0.0130126	0.000117231	0.0142889	0.014541	0.00166275	0.0064342	0.013285	0.0088492	0.00715946	0.00364484	0.0184984	0.00359625	0.00441278	0.00533853	0.00408711	0.00643321	0.0188907	0.00871544	0.045151	0.00148697	0.00352019	0.0216402	0.000478272	1.256707	1.690728	0.0168025	0.136305	0.537011	1.86216	7.3365	59.5148	2.954622	0.105185	0.0392853	0.0392293	0.0059099	0.109913	0.0352684	0.0081582	0.00506807	0.00754653	0.0103581	0.0390523	0.00353173	0.0435735	0.00123425	0.00204292	0.00219663	0.00321959	0.0113542	0.000303683	0.00971218	0.00317841	0.00567977	0.00154029	0.00702548	0.0289106	0.000260456	0.0317462	0.0323062	0.00369418	0.0142951	0.0295158	0.0196606	0.0159064	0.00809786	0.0410987	0.00798991	0.00980404	0.0118608	0.00908048	0.0142929	0.0419702	0.0193634	0.100314	0.00330366	0.00782092	0.0480788	0.00106259	0.9511659	0.371647	0.628353	0.4500986
180	-186.3671	-246.2393	59.87216	0.0968493	0.0508615	0.00210219	0.0551684	0.29759	0.0765348	0.0115047	0.0389759	0.0111725	0.130013	0.113734	0.0493376	0.15055	0.00244257	0.0234905	0.076516	0.0120812	0.0746697	0.0851447	0.0119331	0.0512677	0.00319179	0.13643	0.130019	0.137512	0.0449703	0.0612955	0.0636813	0.0556682	0.00142088	0.132836	0.0995711	0.0860156	0.0752703	0.141866	0.00694275	0.00693299	0.0293455	0.16101	0.0222994	0.0799191	0.347314	0.10783	0.012787	0.0247985	0.0238838	0.0367954	1.213566	1.543124	0.159024	0.407897	0.75596	1.32282	2.4516	6.28837	1.329508	0.0280597	0.0147359	0.000609059	0.0159837	0.0862193	0.0221741	0.00333321	0.0112923	0.00323696	0.0376681	0.0329516	0.0142943	0.0436183	0.000707676	0.0068058	0.0221686	0.00350024	0.0216337	0.0246686	0.00345732	0.0148535	0.000924743	0.0395271	0.0376697	0.0398406	0.0130291	0.0177589	0.0184501	0.0161285	0.000411664	0.0384859	0.0288483	0.0249209	0.0218077	0.041102	0.00201149	0.00200866	0.00850214	0.0466486	0.00646069	0.0231546	0.100626	0.0312412	0.00370473	0.00718477	0.00691973	0.0106606	0.9590365	0.393217	0.606783	3.451544
216	-186.896	-248.8726	61.97657	0.00445441	0.00309126	0.0195451	0.0328546	0.029153	0.0421257	0.00436867	0.00833351	0.0110557	0.00756786	0.0198791	0.00839441	0.0452762	0.00185447	0.00141353	0.0085358	0.00590804	0.0126994	0.0111874	0.0058336	0.0137237	0.00540966	0.00180077	0.00678127	0.0999597	0.0153322	0.0129344	0.0583325	0.00307717	0.000974869	0.0452662	0.0102317	0.00618946	0.0124377	0.00897957	0.00853624	0.00666475	0.00692965	0.00818873	0.00633462	0.00096833	0.0323689	0.00878406	0.0183915	0.0166235	0.0131514	0.00944159	1.116469	1.263643	0.00990819	0.105352	0.495544	2.01798	9.49202	100.927	3.336524	0.00617514	0.0042854	0.0270953	0.0455462	0.0404147	0.0583988	0.00605628	0.0115527	0.0153265	0.0104913	0.0275583	0.0116371	0.0627663	0.00257085	0.00195957	0.0118332	0.0081903	0.0176052	0.0155091	0.0080871	0.0190252	0.0074994	0.0024964	0.00940086	0.138574	0.021255	0.017931	0.0808662	0.00426587	0.00135146	0.0627524	0.0141842	0.00858044	0.0172424	0.0124483	0.0118338	0.00923933	0.00960656	0.011352	0.00878166	0.00134239	0.0448729	0.0121773	0.0254961	0.0230451	0.0182318	0.0130888	0.9772365	0.441766	0.558234	0.7213459
252	-184.236	-244.8487	60.61277	0.00168801	0.0117955	0.0295834	0.0655137	0.176843	0.0746187	0.0598628	0.0360831	0.0156279	0.0142276	0.0374733	0.0464934	0.170935	0.00510941	0.00542672	0.0109952	0.0156958	0.0163721	0.0116475	0.125832	0.0467916	0.0674867	0.000387284	0.0334272	0.0838291	0.0702001	0.0273418	0.0033839	0.00356183	0.0150956	0.0407974	0.0163775	0.00259836	0.023639	0.0375267	0.0165866	0.0102057	0.035809	0.000464649	0.0421872	0.0766542	0.0429706	0.0196961	0.0499114	0.058806	0.0207324	0.0104317	1.174886	1.423908	0.0097854	0.104713	0.494604	2.02182	9.54992	102.193	3.345541	0.000943694	0.00659437	0.0165388	0.036626	0.0988654	0.0417162	0.0334668	0.0201726	0.00873692	0.00795404	0.0209498	0.0259925	0.0955624	0.00285646	0.00303385	0.00614693	0.00877485	0.00915294	0.00651163	0.0703474	0.0261592	0.037729	0.000216514	0.0186877	0.0468653	0.0392459	0.0152857	0.0018918	0.00199127	0.00843933	0.0228081	0.00915599	0.00145263	0.0132156	0.0209796	0.00927289	0.0057056	0.0200193	0.000259766	0.0235851	0.0428542	0.024023	0.0110112	0.0279034	0.0328759	0.0115906	0.00583191	0.9662048	0.412557	0.587443	1.788723
288	-175.5691	-237.5712	62.00206	0.00145428	0.00262022	0.00145279	0.00422724	0.0184681	0.00771287	0.000508067	0.00388635	0.00231159	0.00100105	0.0319455	0.00195912	0.0227548	0.00179626	0.000609853	0.000145234	0.00187412	0.000999625	0.00986855	0.00185666	0.00456171	0.0112911	0.000211791	0.00619595	0.00123542	0.00489541	0.00309952	0.00430879	0.000819847	0.00310439	0.00844638	0.00707438	0.00267447	0.00949858	0.0159983	0.00286335	0.000911634	0.00181757	0.00121308	0.00903676	0.00723708	0.0100453	0.00557546	0.00359166	0.00326183	0.00179749	0.00491496	1.137857	1.3198	0.0127533	0.119153	0.514947	1.94195	8.39254	78.4113	3.154004	0.00574507	0.0103511	0.00573922	0.0166996	0.0729577	0.0304695	0.0020071	0.0153529	0.00913186	0.00395461	0.1262	0.00773944	0.0898923	0.00709608	0.0024092	0.000573743	0.00740364	0.00394899	0.0389854	0.00733469	0.0180209	0.044605	0.000836672	0.0244769	0.00488048	0.0193392	0.0122446	0.0170217	0.00323878	0.0122638	0.0333672	0.0279471	0.0105654	0.0375238	0.0632009	0.0113116	0.00360138	0.00718027	0.00479224	0.0356994	0.0285898	0.0396836	0.0220257	0.0141887	0.0128857	0.00710091	0.0194164	0.9731684	0.431072	0.568928	0.2531345
324	-184.584	-247.6761	63.09214	0.0050989	0.00343954	0.00110162	0.0135126	0.0657258	0.0211341	0.00590754	0.00808603	0.0255054	0.00875146	0.0267495	0.035409	0.0544237	0.00133037	0.0118216	0.000849796	0.00566549	0.0279029	0.00925579	0.0221983	0.0177523	0.00406332	0.00507828	0.0018202	0.0143846	0.00847944	0.00996772	0.00565982	0.020063	0.00630375	0.0249343	0.00292485	0.0130514	0.00295988	0.0308245	0.00247295	0.00162006	0.0169712	0.00994955	0.00331126	0.0322183	0.00327984	0.0114399	0.00264412	0.00750793	0.0037178	0.0502713	1.045289	1.094875	0.0361712	0.198112	0.603461	1.65711	5.04766	27.6463	2.400221	0.00763833	0.00515256	0.00165027	0.0202424	0.0984595	0.0316596	0.0088497	0.0121132	0.0382079	0.01311	0.0400716	0.0530439	0.0815286	0.00199295	0.0177092	0.00127302	0.0084871	0.0417996	0.0138655	0.0332538	0.0265936	0.00608699	0.00760744	0.00272672	0.0215486	0.0127025	0.014932	0.00847861	0.0300551	0.00944323	0.0373525	0.00438153	0.0195515	0.00443401	0.0461762	0.00370457	0.00242691	0.0254235	0.0149048	0.00496039	0.0482641	0.00491332	0.0171374	0.00396099	0.0112471	0.0055694	0.0753082	0.9910235	0.477355	0.522645	0.667541
